"id","Asset","realizedPL","date_closed","date_open","initialUnits","financing","dividendAdjustment","account_var","already_in_db","trade_col","Net_Profit"
"39122","USD_CAD",-2.1798,2025-11-24 15:45:31,2025-11-22 02:40:44,621,0.0197,0,1,NA,"Long",-2.1601
"39126","USD_CAD",-2.1798,2025-11-24 15:45:31,2025-11-22 02:40:47,621,0.0197,0,1,NA,"Long",-2.1601
"39130","USD_CAD",-2.1661,2025-11-24 15:45:31,2025-11-22 02:40:48,621,0.0197,0,1,NA,"Long",-2.1464
"39134","XAG_USD",4.2033,2025-11-22 03:44:16,2025-11-22 02:40:52,5,0,0,1,NA,"Long",4.2033
"39138","XAG_USD",2.3747,2025-11-22 02:47:39,2025-11-22 02:40:54,5,0,0,1,NA,"Long",2.3747
"39142","XAG_USD",1.7497,2025-11-22 02:46:09,2025-11-22 02:40:55,5,0,0,1,NA,"Long",1.7497
"39374","EUR_AUD",-0.4462,2025-11-24 15:45:24,2025-11-22 03:40:30,429,-0.0558,0,1,NA,"Long",-0.502
"39378","EUR_AUD",-0.4848,2025-11-24 15:45:24,2025-11-22 03:40:32,429,-0.0558,0,1,NA,"Long",-0.5406
"39382","EUR_AUD",-0.4805,2025-11-24 15:45:24,2025-11-22 03:40:34,429,-0.0558,0,1,NA,"Long",-0.5363
"39386","USD_CAD",-1.227,2025-11-24 15:45:31,2025-11-22 03:40:38,621,0.0197,0,1,NA,"Long",-1.2073
"39390","USD_CAD",-1.227,2025-11-24 15:45:31,2025-11-22 03:40:39,621,0.0197,0,1,NA,"Long",-1.2073
"39394","USD_CAD",-1.227,2025-11-24 15:45:31,2025-11-22 03:40:42,621,0.0197,0,1,NA,"Long",-1.2073
"39398","XAG_USD",4.1857,2025-11-22 03:56:47,2025-11-22 03:40:46,5,0,0,1,NA,"Long",4.1857
"39402","XAG_USD",2.3577,2025-11-22 03:51:56,2025-11-22 03:40:48,5,0,0,1,NA,"Long",2.3577
"39406","XAG_USD",1.7516,2025-11-22 03:50:31,2025-11-22 03:40:50,5,0,0,1,NA,"Long",1.7516
"39646","EUR_AUD",0.3732,2025-11-24 15:45:24,2025-11-22 04:40:36,429,-0.0558,0,1,NA,"Long",0.3174
"39650","EUR_AUD",0.3904,2025-11-24 15:45:24,2025-11-22 04:40:38,429,-0.0558,0,1,NA,"Long",0.3346
"39654","EUR_AUD",0.3732,2025-11-24 15:45:24,2025-11-22 04:40:40,429,-0.0558,0,1,NA,"Long",0.3174
"39658","USD_CAD",0.0475,2025-11-24 15:45:31,2025-11-22 04:40:44,621,0.0197,0,1,NA,"Long",0.0672
"39662","USD_CAD",0.0543,2025-11-24 15:45:31,2025-11-22 04:40:45,621,0.0197,0,1,NA,"Long",0.074
"39666","USD_CAD",0.0611,2025-11-24 15:45:31,2025-11-22 04:40:47,621,0.0197,0,1,NA,"Long",0.0808
"39670","XAG_USD",-3.0365,2025-11-22 07:30:01,2025-11-22 04:40:51,5,0,0,1,NA,"Long",-3.0365
"39674","XAG_USD",-2.9898,2025-11-22 07:30:01,2025-11-22 04:40:53,5,0,0,1,NA,"Long",-2.9898
"39678","XAG_USD",-3.0375,2025-11-22 07:30:01,2025-11-22 04:40:57,5,0,0,1,NA,"Long",-3.0375
"40295","EUR_AUD",-3.003,2025-11-25 07:28:00,2025-11-24 21:25:00,429,0,0,1,NA,"Long",-3.003
"40299","EUR_AUD",-3.0202,2025-11-25 07:28:00,2025-11-24 21:25:02,429,0,0,1,NA,"Long",-3.0202
"40303","EUR_AUD",-3.0202,2025-11-25 07:28:00,2025-11-24 21:25:04,429,0,0,1,NA,"Long",-3.0202
"40307","EUR_AUD",-3.003,2025-11-25 07:27:20,2025-11-24 21:25:07,429,0,0,1,NA,"Long",-3.003
"40311","EUR_AUD",-3.003,2025-11-25 07:27:33,2025-11-24 21:25:09,429,0,0,1,NA,"Long",-3.003
"40315","EUR_AUD",-3.0073,2025-11-25 07:28:00,2025-11-24 21:25:11,429,0,0,1,NA,"Long",-3.0073
"40319","USD_CAD",-0.9705,2025-11-26 07:41:29,2025-11-24 21:25:14,620,0.0204,0,1,NA,"Long",-0.9501
"40323","USD_CAD",-0.9705,2025-11-26 07:41:26,2025-11-24 21:25:16,620,0.0204,0,1,NA,"Long",-0.9501
"40327","USD_CAD",-0.9977,2025-11-26 07:41:22,2025-11-24 21:25:18,620,0.0204,0,1,NA,"Long",-0.9773
"40331","USD_CAD",-1.0114,2025-11-26 07:41:18,2025-11-24 21:25:22,620,0.0204,0,1,NA,"Long",-0.991
"40335","USD_CAD",-1.0114,2025-11-26 07:41:14,2025-11-24 21:25:23,620,0.0204,0,1,NA,"Long",-0.991
"40339","USD_CAD",-1.0046,2025-11-26 07:41:11,2025-11-24 21:25:25,620,0.0204,0,1,NA,"Long",-0.9842
"40423","EUR_AUD",-3.003,2025-11-25 04:47:46,2025-11-24 23:27:32,429,0,0,1,NA,"Long",-3.003
"40427","EUR_AUD",-3.003,2025-11-25 04:45:49,2025-11-24 23:27:34,429,0,0,1,NA,"Long",-3.003
"40431","EUR_AUD",-3.0073,2025-11-25 04:40:35,2025-11-24 23:27:36,429,0,0,1,NA,"Long",-3.0073
"40503","EUR_AUD",-3.003,2025-11-26 16:04:57,2025-11-25 00:23:05,429,-0.1128,0,1,NA,"Long",-3.1158
